col_name,db_column_name,column_type,aggregation,data_type,tableobject,db_table,datatype,authentication,class,db,schema,server,username,warehouse,connection,directory,name,table,dstype,filename,fileid
L_RETURNFLAG,L_RETURNFLAG,column,Count,string,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_LINESTATUS,L_LINESTATUS,column,Count,string,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_SHIPDATE,L_SHIPDATE,column,Year,date,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_COMMITDATE,L_COMMITDATE,column,Year,date,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_RECEIPTDATE,L_RECEIPTDATE,column,Year,date,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_SHIPINSTRUCT,L_SHIPINSTRUCT,column,Count,string,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_SHIPMODE,L_SHIPMODE,column,Count,string,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
L_COMMENT,L_COMMENT,column,Count,string,LINEITEM (TPCH_SF1.LINEITEM)_767CF50AAFF3498B8CFE02758F694510,LINEITEM,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,LINEITEM,[TPCH_SF1].[LINEITEM],table,Snowflake with calculations.tds,tdsid1
P_PARTKEY,P_PARTKEY,column,Sum,integer,PART (TPCH_SF1.PART)_F3ED468706664B7BA67DDA5EF3F3D264,PART,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PART,[TPCH_SF1].[PART],table,Snowflake with calculations.tds,tdsid1
P_NAME,P_NAME,column,Count,string,PART (TPCH_SF1.PART)_F3ED468706664B7BA67DDA5EF3F3D264,PART,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PART,[TPCH_SF1].[PART],table,Snowflake with calculations.tds,tdsid1
P_MFGR,P_MFGR,column,Count,string,PART (TPCH_SF1.PART)_F3ED468706664B7BA67DDA5EF3F3D264,PART,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PART,[TPCH_SF1].[PART],table,Snowflake with calculations.tds,tdsid1
P_BRAND,P_BRAND,column,Count,string,PART (TPCH_SF1.PART)_F3ED468706664B7BA67DDA5EF3F3D264,PART,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PART,[TPCH_SF1].[PART],table,Snowflake with calculations.tds,tdsid1
P_TYPE,P_TYPE,column,Count,string,PART (TPCH_SF1.PART)_F3ED468706664B7BA67DDA5EF3F3D264,PART,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PART,[TPCH_SF1].[PART],table,Snowflake with calculations.tds,tdsid1
P_SIZE,P_SIZE,column,Sum,integer,PART (TPCH_SF1.PART)_F3ED468706664B7BA67DDA5EF3F3D264,PART,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PART,[TPCH_SF1].[PART],table,Snowflake with calculations.tds,tdsid1
P_CONTAINER,P_CONTAINER,column,Count,string,PART (TPCH_SF1.PART)_F3ED468706664B7BA67DDA5EF3F3D264,PART,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PART,[TPCH_SF1].[PART],table,Snowflake with calculations.tds,tdsid1
P_RETAILPRICE,P_RETAILPRICE,column,Sum,real,PART (TPCH_SF1.PART)_F3ED468706664B7BA67DDA5EF3F3D264,PART,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PART,[TPCH_SF1].[PART],table,Snowflake with calculations.tds,tdsid1
P_COMMENT,P_COMMENT,column,Count,string,PART (TPCH_SF1.PART)_F3ED468706664B7BA67DDA5EF3F3D264,PART,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PART,[TPCH_SF1].[PART],table,Snowflake with calculations.tds,tdsid1
PS_PARTKEY,PS_PARTKEY,column,Sum,integer,PARTSUPP (TPCH_SF1.PARTSUPP)_4158DC6314934C5E95706D8F1B3889E1,PARTSUPP,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PARTSUPP,[TPCH_SF1].[PARTSUPP],table,Snowflake with calculations.tds,tdsid1
PS_SUPPKEY,PS_SUPPKEY,column,Sum,integer,PARTSUPP (TPCH_SF1.PARTSUPP)_4158DC6314934C5E95706D8F1B3889E1,PARTSUPP,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PARTSUPP,[TPCH_SF1].[PARTSUPP],table,Snowflake with calculations.tds,tdsid1
PS_AVAILQTY,PS_AVAILQTY,column,Sum,integer,PARTSUPP (TPCH_SF1.PARTSUPP)_4158DC6314934C5E95706D8F1B3889E1,PARTSUPP,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PARTSUPP,[TPCH_SF1].[PARTSUPP],table,Snowflake with calculations.tds,tdsid1
PS_SUPPLYCOST,PS_SUPPLYCOST,column,Sum,real,PARTSUPP (TPCH_SF1.PARTSUPP)_4158DC6314934C5E95706D8F1B3889E1,PARTSUPP,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PARTSUPP,[TPCH_SF1].[PARTSUPP],table,Snowflake with calculations.tds,tdsid1
PS_COMMENT,PS_COMMENT,column,Count,string,PARTSUPP (TPCH_SF1.PARTSUPP)_4158DC6314934C5E95706D8F1B3889E1,PARTSUPP,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,PARTSUPP,[TPCH_SF1].[PARTSUPP],table,Snowflake with calculations.tds,tdsid1
S_SUPPKEY,S_SUPPKEY,column,Sum,integer,SUPPLIER (TPCH_SF1.SUPPLIER)_F23B5C1C1C474A58BDFC3340AA2CF134,SUPPLIER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,SUPPLIER,[TPCH_SF1].[SUPPLIER],table,Snowflake with calculations.tds,tdsid1
S_NAME,S_NAME,column,Count,string,SUPPLIER (TPCH_SF1.SUPPLIER)_F23B5C1C1C474A58BDFC3340AA2CF134,SUPPLIER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,SUPPLIER,[TPCH_SF1].[SUPPLIER],table,Snowflake with calculations.tds,tdsid1
S_ADDRESS,S_ADDRESS,column,Count,string,SUPPLIER (TPCH_SF1.SUPPLIER)_F23B5C1C1C474A58BDFC3340AA2CF134,SUPPLIER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,SUPPLIER,[TPCH_SF1].[SUPPLIER],table,Snowflake with calculations.tds,tdsid1
S_NATIONKEY,S_NATIONKEY,column,Sum,integer,SUPPLIER (TPCH_SF1.SUPPLIER)_F23B5C1C1C474A58BDFC3340AA2CF134,SUPPLIER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,SUPPLIER,[TPCH_SF1].[SUPPLIER],table,Snowflake with calculations.tds,tdsid1
S_PHONE,S_PHONE,column,Count,string,SUPPLIER (TPCH_SF1.SUPPLIER)_F23B5C1C1C474A58BDFC3340AA2CF134,SUPPLIER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,SUPPLIER,[TPCH_SF1].[SUPPLIER],table,Snowflake with calculations.tds,tdsid1
S_ACCTBAL,S_ACCTBAL,column,Sum,real,SUPPLIER (TPCH_SF1.SUPPLIER)_F23B5C1C1C474A58BDFC3340AA2CF134,SUPPLIER,table,Username Password,snowflake,SNOWFLAKE_SAMPLE_DATA,TPCH_SF1,jaebakw-op74008.snowflakecomputing.com,TS4thewin,MY_WH,snowflake.11zzyks0eafhyp1globir0yunv1y, ,SUPPLIER,[TPCH_SF1].[SUPPLIER],table,Snowflake with calculations.tds,tdsid1
